Comando,Tipo,Regiao,Tamanho,Thread,Rodada,Init,Allocate,Mandelbrot,Write,Total
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 1 ,OMP,0,16,1,0,0.00001,0.00001,0.00018,0.00109,0.00129
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 1 ,PTH,0,16,1,0,0.00001,0.00003,0.00043,0.00077,0.00125
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 1 ,OMP,0,16,1,1,0.00001,0.00001,0.00019,0.00012,0.00034
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 1 ,PTH,0,16,1,1,0.00001,0.00003,0.00065,0.00027,0.00097
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 1 ,OMP,0,16,1,2,0.00002,0.00001,0.00023,0.00019,0.00045
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 1 ,PTH,0,16,1,2,0.00002,0.00004,0.00044,0.00015,0.00065
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 1 ,OMP,0,16,1,3,0.00001,0.00001,0.00020,0.00012,0.00034
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 1 ,PTH,0,16,1,3,0.00001,0.00004,0.00046,0.00011,0.00062
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 1 ,OMP,0,16,1,4,0.00001,0.00001,0.00019,0.00011,0.00032
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 1 ,PTH,0,16,1,4,0.00001,0.00004,0.00045,0.00010,0.00059
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 1 ,OMP,0,16,1,5,0.00001,0.00001,0.00019,0.00011,0.00032
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 1 ,PTH,0,16,1,5,0.00002,0.00004,0.00042,0.00013,0.00061
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 1 ,OMP,0,16,1,6,0.00001,0.00001,0.00020,0.00009,0.00031
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 1 ,PTH,0,16,1,6,0.00009,0.00004,0.00068,0.00011,0.00092
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 1 ,OMP,0,16,1,7,0.00001,0.00001,0.00020,0.00009,0.00031
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 1 ,PTH,0,16,1,7,0.00001,0.00003,0.00036,0.00009,0.00050
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 1 ,OMP,0,16,1,8,0.00001,0.00001,0.00019,0.00011,0.00032
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 1 ,PTH,0,16,1,8,0.00003,0.00004,0.00053,0.00021,0.00082
./mandelbrot_omp -0.188 -0.012 0.554 0.754 16 1 ,OMP,0,16,1,9,0.00005,0.00001,0.00022,0.00052,0.00080
./mandelbrot_pth -0.188 -0.012 0.554 0.754 16 1 ,PTH,0,16,1,9,0.00002,0.00007,0.00048,0.00017,0.00075
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 1 ,OMP,0,32,1,0,0.00001,0.00002,0.00077,0.00013,0.00093
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 1 ,PTH,0,32,1,0,0.00002,0.00012,0.00097,0.00016,0.00127
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 1 ,OMP,0,32,1,1,0.00001,0.00003,0.00080,0.00014,0.00098
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 1 ,PTH,0,32,1,1,0.00001,0.00006,0.00097,0.00012,0.00117
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 1 ,OMP,0,32,1,2,0.00001,0.00002,0.00076,0.00010,0.00089
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 1 ,PTH,0,32,1,2,0.00001,0.00005,0.00097,0.00010,0.00114
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 1 ,OMP,0,32,1,3,0.00001,0.00002,0.00079,0.00013,0.00095
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 1 ,PTH,0,32,1,3,0.00002,0.00006,0.00123,0.00019,0.00149
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 1 ,OMP,0,32,1,4,0.00001,0.00002,0.00079,0.00016,0.00099
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 1 ,PTH,0,32,1,4,0.00002,0.00008,0.00111,0.00020,0.00141
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 1 ,OMP,0,32,1,5,0.00002,0.00003,0.00081,0.00017,0.00103
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 1 ,PTH,0,32,1,5,0.00001,0.00005,0.00111,0.00016,0.00134
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 1 ,OMP,0,32,1,6,0.00001,0.00003,0.00078,0.00011,0.00093
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 1 ,PTH,0,32,1,6,0.00001,0.00005,0.00104,0.00012,0.00122
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 1 ,OMP,0,32,1,7,0.00001,0.00002,0.00079,0.00010,0.00092
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 1 ,PTH,0,32,1,7,0.00002,0.00007,0.00115,0.00035,0.00158
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 1 ,OMP,0,32,1,8,0.00001,0.00003,0.00111,0.00022,0.00137
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 1 ,PTH,0,32,1,8,0.00001,0.00007,0.00102,0.00017,0.00127
./mandelbrot_omp -0.188 -0.012 0.554 0.754 32 1 ,OMP,0,32,1,9,0.00001,0.00002,0.00078,0.00014,0.00096
./mandelbrot_pth -0.188 -0.012 0.554 0.754 32 1 ,PTH,0,32,1,9,0.00001,0.00005,0.00107,0.00015,0.00128
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 1 ,OMP,0,64,1,0,0.00005,0.00020,0.00316,0.00037,0.00378
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 1 ,PTH,0,64,1,0,0.00003,0.00020,0.00344,0.00025,0.00392
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 1 ,OMP,0,64,1,1,0.00001,0.00009,0.00393,0.00023,0.00426
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 1 ,PTH,0,64,1,1,0.00002,0.00013,0.00335,0.00022,0.00371
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 1 ,OMP,0,64,1,2,0.00002,0.00010,0.00312,0.00015,0.00339
